DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/24/17,10:00,MANHATTAN,10038,40.70966,-74.00484,"(40.70966, -74.00484)",GOLD STREET                     ,BEEKMAN STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3776545,PASSENGER VEHICLE,BICYCLE,,,
10/24/17,10:00,,,40.885517,-73.82398,"(40.885517, -73.82398)",HOLLERS AVENUE                  ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3777141,SPORT UTILITY / STATION WAGON,TK,,,
10/24/17,10:05,,,40.744644,-73.77041,"(40.744644, -73.77041)",,,,0,0,0,0,0,0,0,0,Animals Action,Unspecified,,,,3776827,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/24/17,10:07,,,,,,MAJOR DEEGAN                    ,WILLIS AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3776172,SPRIN,TK,,,
10/24/17,10:11,,,40.669434,-73.9255,"(40.669434, -73.9255)",BUFFALO AVENUE                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3778570,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,10:12,BRONX,10451,40.817387,-73.92277,"(40.817387, -73.92277)",EAST 149 STREET                 ,MORRIS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Backing Unsafely,,,,3776173,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,10:13,BROOKLYN,11238,40.68068,-73.957794,"(40.68068, -73.957794)",,,139       LEFFERTS PLACE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776276,PASSENGER VEHICLE,,,,
10/24/17,10:14,,,40.641327,-74.00709,"(40.641327, -74.00709)",52 STREET                       ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3775943,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,10:15,BROOKLYN,11232,40.649303,-74.0203,"(40.649303, -74.0203)",52 STREET                       ,1 AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3775970,GG,PASSENGER VEHICLE,,,
10/24/17,10:15,,,,,,188 STREET                      ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3775852,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,10:15,,,40.697887,-73.99461,"(40.697887, -73.99461)",CLARK STREET                    ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3776965,PASSENGER VEHICLE,,,,
10/24/17,10:15,,,40.763897,-73.95323,"(40.763897, -73.95323)",,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Following Too Closely,,,,3776358,PASSENGER VEHICLE,TAXI,,,
10/24/17,10:18,QUEENS,11355,40.75648,-73.83136,"(40.75648, -73.83136)",FRAME PLACE                     ,41 ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3775937,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,10:20,BROOKLYN,11207,40.659622,-73.8882,"(40.659622, -73.8882)",LINDEN BOULEVARD                ,WYONA STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776355,BICYCLE,,,,
10/24/17,10:21,,,,,,MONTAUK STREET                  ,FRANCIS LEWIS BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3776481,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,10:25,,,40.843113,-73.9447,"(40.843113, -73.9447)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3776598,SPORT UTILITY / STATION WAGON,,,,
10/24/17,10:27,,,40.8541,-73.919106,"(40.8541, -73.919106)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,,,,3776076,PASSENGER VEHICLE,DS,,,
10/24/17,10:30,BRONX,10458,40.86588,-73.892044,"(40.86588, -73.892044)",,,2676      BRIGGS AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776117,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,10:30,BROOKLYN,11218,40.64508,-73.98483,"(40.64508, -73.98483)",MINNA STREET                    ,CHESTER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3777034,SPORT UTILITY / STATION WAGON,,,,
10/24/17,10:30,BROOKLYN,11233,40.67101,-73.92239,"(40.67101, -73.92239)",RALPH AVENUE                    ,STERLING PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3775905,PASSENGER VEHICLE,MTA B,,,
10/24/17,10:30,BROOKLYN,11234,40.63413,-73.928505,"(40.63413, -73.928505)",UTICA AVENUE                    ,KINGS HIGHWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3776233,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,10:30,,,40.639256,-73.968796,"(40.639256, -73.968796)",CORTELYOU ROAD                  ,CONEY ISLAND AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3776584,PASSENGER VEHICLE,TK,,,
10/24/17,10:30,,,40.844105,-73.898,"(40.844105, -73.898)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,,,,3776417,DS,SPORT UTILITY / STATION WAGON,,,
10/24/17,10:30,,,40.609783,-74.18201,"(40.609783, -74.18201)",,,,1,0,0,0,0,0,1,0,Unspecified,,,,,3779550,BU,VAN,,,
10/24/17,10:32,MANHATTAN,10002,40.71911,-73.99003,"(40.71911, -73.99003)",,,80        DELANCEY STREET               ,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3775859,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,10:35,BRONX,10455,40.815697,-73.91678,"(40.815697, -73.91678)",EAST 149 STREET                 ,BERGEN AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776174,BU,PASSENGER VEHICLE,,,
10/24/17,10:35,BROOKLYN,11201,40.698097,-73.992714,"(40.698097, -73.992714)",PINEAPPLE STREET                ,HENRY STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Oversized Vehicle,,,,3776886,PASSENGER VEHICLE,TK,,,
10/24/17,10:35,BROOKLYN,11233,40.68475,-73.92415,"(40.68475, -73.92415)",,,752       HALSEY STREET                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3776614,SPORT UTILITY / STATION WAGON,,,,
10/24/17,10:35,,,40.743305,-73.93766,"(40.743305, -73.93766)",30 STREET                       ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3775844,PASSENGER VEHICLE,BU,,,
10/24/17,10:40,BROOKLYN,11217,40.68672,-73.98224,"(40.68672, -73.98224)",STATE STREET                    ,NEVINS STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3775983,PASSENGER VEHICLE,,,,
10/24/17,10:40,MANHATTAN,10001,40.753918,-73.99964,"(40.753918, -73.99964)",WEST 33 STREET                  ,10 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3776470,PASSENGER VEHICLE,TAXI,,,
10/24/17,10:43,,,40.732925,-74.00007,"(40.732925, -74.00007)",AVENUE OF THE AMERICAS          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Passing or Lane Usage Improper,,,,3776339,SPORT UTILITY / STATION WAGON,,,,
10/24/17,10:45,BROOKLYN,11208,40.679367,-73.879715,"(40.679367, -73.879715)",ATLANTIC AVENUE                 ,HALE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776356,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/24/17,10:45,,,40.72361,-73.99279,"(40.72361, -73.99279)",BOWERY                          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3776421,PASSENGER VEHICLE,TK,,,
10/24/17,10:47,,,40.742023,-73.98292,"(40.742023, -73.98292)",LEXINGTON AVENUE                ,,,0,0,0,0,0,0,0,0,Oversized Vehicle,,,,,3779846,PICK-UP TRUCK,TK,,,
10/24/17,10:50,MANHATTAN,10013,40.71636,-73.996544,"(40.71636, -73.996544)",,,156       CANAL STREET                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3776362,PASSENGER VEHICLE,,,,
10/24/17,10:50,QUEENS,11417,40.680183,-73.8459,"(40.680183, -73.8459)",93 STREET                       ,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776353,PASSENGER VEHICLE,PICK-UP TRUCK,,,
10/24/17,10:50,,,40.738796,-73.80846,"(40.738796, -73.80846)",HORACE HARDING EXPRESSWAY       ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3775834,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/24/17,10:50,BRONX,10461,40.84336,-73.845184,"(40.84336, -73.845184)",SAINT RAYMOND AVENUE            ,WILLIAMSBRIDGE ROAD,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3776251,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,10:56,,,40.66617,-73.88322,"(40.66617, -73.88322)",NEW LOTS AVENUE                 ,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3776357,PASSENGER VEHICLE,,,,
10/24/17,10:57,MANHATTAN,10037,40.807537,-73.93511,"(40.807537, -73.93511)",EAST 130 STREET                 ,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3775969,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/24/17,10:59,,,,,,WEST BEDFORD PARK BOULEVARD     ,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3776113,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,11:00,BRONX,10468,40.862534,-73.89708,"(40.862534, -73.89708)",GRAND CONCOURSE                 ,EAST FORDHAM ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3777214,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,11:00,BROOKLYN,11215,40.660225,-73.99459,"(40.660225, -73.99459)",5 AVENUE                        ,23 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776041,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,11:00,QUEENS,11412,40.69853,-73.75601,"(40.69853, -73.75601)",,,114-59    198 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,3776426,PASSENGER VEHICLE,,,,
10/24/17,11:00,STATEN ISLAND,10301,40.64723,-74.08716,"(40.64723, -74.08716)",,,18        WESTERVELT AVENUE             ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3777461,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,11:00,,,40.595608,-74.068825,"(40.595608, -74.068825)",ARTHUR AVENUE                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3776066,PASSENGER VEHICLE,,,,
10/24/17,11:05,BROOKLYN,11203,40.647114,-73.94338,"(40.647114, -73.94338)",TILDEN AVENUE                   ,BROOKLYN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3776378,SPORT UTILITY / STATION WAGON,,,,
10/24/17,11:06,BRONX,10458,40.85517,-73.89129,"(40.85517, -73.89129)",BATHGATE AVENUE                 ,EAST 184 STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Other Vehicular,,,,3776415,TK,SPORT UTILITY / STATION WAGON,,,
10/24/17,11:15,BRONX,10460,40.835705,-73.88875,"(40.835705, -73.88875)",SOUTHERN BOULEVARD              ,EAST 173 STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,,,,,3776273,TK,,,,
10/24/17,11:15,,,,,,VANWYCK EXPRESSWAY              ,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3775968,TN,SPORT UTILITY / STATION WAGON,,,
10/24/17,11:17,BRONX,10465,40.826992,-73.820045,"(40.826992, -73.820045)",RANDALL AVENUE                  ,LOGAN AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3776249,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/24/17,11:25,BROOKLYN,11211,40.706,-73.95698,"(40.706, -73.95698)",MARCY AVENUE                    ,KEAP STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3777019,PASSENGER VEHICLE,PICK-UP TRUCK,,,
10/24/17,11:25,BROOKLYN,11214,40.599453,-74.0072,"(40.599453, -74.0072)",SHORE PARKWAY                   ,19 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776094,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,11:25,MANHATTAN,10017,40.67059,-73.93404,"(40.67059, -73.93404)",,,109       EAST 42 STREET                ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3780592,FR,BU,,,
10/24/17,11:25,QUEENS,11429,40.711628,-73.729385,"(40.711628, -73.729385)",HEMPSTEAD AVENUE                ,225 STREET,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3775908,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/24/17,11:27,QUEENS,11691,40.596786,-73.75877,"(40.596786, -73.75877)",EDGEMERE AVENUE                 ,WATJEAN COURT,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3776970,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,11:30,BROOKLYN,11205,40.689365,-73.96609,"(40.689365, -73.96609)",,,308       WASHINGTON AVENUE             ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776103,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/24/17,11:30,BROOKLYN,11205,40.6968,-73.95985,"(40.6968, -73.95985)",,,805       KENT AVENUE                   ,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,3776277,SPORT UTILITY / STATION WAGON,DS,,,
10/24/17,11:30,BROOKLYN,11211,40.709755,-73.95707,"(40.709755, -73.95707)",SOUTH 4 STREET                  ,MARCY AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3777155,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,11:30,BROOKLYN,11233,40.6811,-73.91684,"(40.6811, -73.91684)",SARATOGA AVENUE                 ,MARION STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3776187,PICK-UP TRUCK,PASSENGER VEHICLE,,,
10/24/17,11:30,MANHATTAN,10018,40.755215,-73.99668,"(40.755215, -73.99668)",DYER AVENUE                     ,WEST 36 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3776780,PASSENGER VEHICLE,TK,,,
10/24/17,11:30,MANHATTAN,10036,40.755802,-73.986404,"(40.755802, -73.986404)",WEST 42 STREET                  ,BROADWAY,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3776407,SPORT UTILITY / STATION WAGON,BICYCLE,,,
10/24/17,11:40,MANHATTAN,10013,40.718693,-73.99663,"(40.718693, -73.99663)",,,140       MOTT STREET                   ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776424,PASSENGER VEHICLE,TK,,,
10/24/17,11:45,,,40.785763,-73.84775,"(40.785763, -73.84775)",120 STREET                      ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3777006,PASSENGER VEHICLE,,,,
10/24/17,11:45,,,40.830456,-73.94435,"(40.830456, -73.94435)",WEST 153 STREET                 ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781205,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,11:45,,,40.74407,-73.73309,"(40.74407, -73.73309)",,,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Aggressive Driving/Road Rage,,,,3776829,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
10/24/17,11:50,,,40.668102,-73.980576,"(40.668102, -73.980576)",7 AVENUE                        ,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3776372,TAXI,TAXI,,,
10/24/17,11:53,BROOKLYN,11230,40.618015,-73.9693,"(40.618015, -73.9693)",,,1261      OCEAN PARKWAY                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3777053,PASSENGER VEHICLE,,,,
10/24/17,11:55,,,40.728016,-73.939186,"(40.728016, -73.939186)",NORMAN AVENUE                   ,,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3775962,TN,TAXI,,,
10/24/17,11:58,BROOKLYN,11230,40.62017,-73.95659,"(40.62017, -73.95659)",,,1234      EAST 19 STREET                ,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3776438,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/24/17,12:00,BRONX,10454,40.804043,-73.907234,"(40.804043, -73.907234)",EAST 140 STREET                 ,WALNUT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3776179,SPORT UTILITY / STATION WAGON,,,,
10/24/17,12:00,BRONX,10460,40.850666,-73.88243,"(40.850666, -73.88243)",,,2300      SOUTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Unspecified,,,,,3776116,PICK-UP TRUCK,,,,
10/24/17,15:05,,,40.845543,-73.912674,"(40.845543, -73.912674)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776122,BU,PASSENGER VEHICLE,,,
10/24/17,12:00,MANHATTAN,10010,40.742493,-73.99312,"(40.742493, -73.99312)",,,699       AVENUE OF THE AMERICAS        ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776389,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/24/17,12:00,QUEENS,11373,40.74053,-73.87921,"(40.74053, -73.87921)",,,83-31     BROADWAY                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3777666,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/24/17,12:00,,,,,,BRUCKNER BOULEVARD              ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3776183,PASSENGER VEHICLE,,,,
10/24/17,12:00,,,40.731613,-73.9545,"(40.731613, -73.9545)",MANHATTAN AVENUE                ,,,0,0,0,0,0,0,0,0,Oversized Vehicle,,,,,3775963,PASSENGER VEHICLE,TK,,,
10/24/17,12:00,,,40.72455,-74.00194,"(40.72455, -74.00194)",SPRING STREET                   ,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3776539,SPORT UTILITY / STATION WAGON,,,,
10/24/17,12:00,,,40.624897,-73.96392,"(40.624897, -73.96392)",AVENUE J                        ,,,2,0,1,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3776446,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,12:02,BRONX,10473,40.82433,-73.874374,"(40.82433, -73.874374)",STRATFORD AVENUE                ,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3777303,SPORT UTILITY / STATION WAGON,,,,
10/24/17,12:02,MANHATTAN,10014,40.73814,-74.00648,"(40.73814, -74.00648)",JANE STREET                     ,GREENWICH STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3776341,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,12:02,,,40.824432,-73.873604,"(40.824432, -73.873604)",MORRISON AVENUE                 ,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3777312,SPORT UTILITY / STATION WAGON,,,,
10/24/17,12:03,,,40.844105,-73.898,"(40.844105, -73.898)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3776418,PASSENGER VEHICLE,DS,,,
10/24/17,12:05,BRONX,10472,,,,CROSS BRONX EXPWY SERVICE ROAD  ,CROES AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3777300,SPORT UTILITY / STATION WAGON,TR,,,
10/24/17,12:05,QUEENS,11354,40.76399,-73.80891,"(40.76399, -73.80891)",,,156-18    NORTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3776061,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,12:05,QUEENS,11432,40.708473,-73.79053,"(40.708473, -73.79053)",,,90-20     170 STREET                    ,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3776507,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,12:08,MANHATTAN,10018,40.759514,-73.99926,"(40.759514, -73.99926)",WEST 40 STREET                  ,11 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3776781,TK,PASSENGER VEHICLE,,,
10/24/17,12:10,BROOKLYN,11209,40.632572,-74.03324,"(40.632572, -74.03324)",,,7512      COLONIAL ROAD                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3776053,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,12:10,MANHATTAN,10023,40.78056,-73.98022,"(40.78056, -73.98022)",WEST 75 STREET                  ,AMSTERDAM AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3775916,PICK-UP TRUCK,TK,,,
10/24/17,12:10,QUEENS,11101,40.743195,-73.93673,"(40.743195, -73.93673)",30 PLACE                        ,47 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776682,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,12:10,STATEN ISLAND,10310,40.633858,-74.12596,"(40.633858, -74.12596)",CASTLETON AVENUE                ,CLOVE ROAD,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3776161,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,12:15,,,40.60855,-74.13216,"(40.60855, -74.13216)",NORTH GANNON AVENUE             ,BRADLEY AVENUE,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Alcohol Involvement,,,,3776674,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/24/17,12:20,BROOKLYN,11205,40.696453,-73.95651,"(40.696453, -73.95651)",,,793       BEDFORD AVENUE                ,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,3776284,TAXI,BU,,,
10/24/17,12:20,QUEENS,11101,40.743645,-73.94045,"(40.743645, -73.94045)",47 AVENUE                       ,27 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3776849,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
10/24/17,12:22,BROOKLYN,11201,40.69365,-73.98333,"(40.69365, -73.98333)",FLATBUSH AVENUE EXTENSION       ,MYRTLE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776967,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,12:23,,,,,,,,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,3779551,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/24/17,12:23,BRONX,10461,40.84252,-73.84528,"(40.84252, -73.84528)",,,2725      EAST TREMONT AVENUE           ,1,0,1,0,0,0,0,0,Unspecified,,,,,3776789,PASSENGER VEHICLE,,,,
10/24/17,12:24,,,40.86069,-73.90915,"(40.86069, -73.90915)",LORING PLACE NORTH              ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3775994,PASSENGER VEHICLE,BU,,,
10/24/17,12:25,MANHATTAN,10001,40.7448,-73.991425,"(40.7448, -73.991425)",AVENUE OF THE AMERICAS          ,WEST 26 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3776317,PASSENGER VEHICLE,DELIV,,,
10/24/17,12:26,MANHATTAN,10128,40.776234,-73.943825,"(40.776234, -73.943825)",EAST END AVENUE                 ,EAST 88 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3776359,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/24/17,12:28,BROOKLYN,11220,40.63664,-74.00686,"(40.63664, -74.00686)",,,839       57 STREET                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3777035,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,12:30,BRONX,10468,40.859974,-73.900795,"(40.859974, -73.900795)",EAST 184 STREET                 ,MORRIS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3776079,PASSENGER VEHICLE,,,,
10/24/17,12:30,BROOKLYN,11205,40.69683,-73.97158,"(40.69683, -73.97158)",,,35        CLERMONT AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776104,TT,PASSENGER VEHICLE,,,
10/24/17,12:30,BROOKLYN,11207,40.679466,-73.90037,"(40.679466, -73.90037)",,,1700      BUSHWICK AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3776364,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/24/17,12:30,BROOKLYN,11231,40.67236,-74.01123,"(40.67236, -74.01123)",,,1         BEARD STREET                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,3777388,PASSENGER VEHICLE,,,,
10/24/17,12:30,MANHATTAN,10027,40.812504,-73.94296,"(40.812504, -73.94296)",,,115       WEST 132 STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3777098,TK,PASSENGER VEHICLE,,,
10/24/17,12:30,,,,,,Louisiana Ave                   ,van siclen ave,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3776365,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/24/17,12:32,MANHATTAN,10001,40.75114,-73.99053,"(40.75114, -73.99053)",,,442       7 AVENUE                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3778643,SPORT UTILITY / STATION WAGON,TK,,,
10/24/17,12:39,MANHATTAN,10013,40.720432,-74.00675,"(40.720432, -74.00675)",,,16        ERICSSON PLACE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3775914,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
